text,label
I am absolutely thrilled with the results!,joy
This makes me so happy and excited.,joy
"What a wonderful surprise, I'm delighted.",joy
I can't stop smiling today.,joy
That was fantastic news!,joy
I'm feeling joyful and grateful.,joy
"Everything is going great, I feel amazing.",joy
"I loved the performance, it was brilliant.",joy
So proud of this achievement!,joy
Today has been incredible and uplifting.,joy
I'm furious about how this was handled.,anger
This is unacceptable and makes me angry.,anger
I'm so mad right now I could scream.,anger
They really pissed me off with that comment.,anger
I hate being ignored like this.,anger
Stop wasting my time!,anger
This behavior is infuriating.,anger
I'm outraged by your attitude.,anger
That decision was a slap in the face.,anger
I can't believe how careless they were.,anger
I'm feeling really down today.,sadness
That made me so sad I want to cry.,sadness
I miss you and it hurts.,sadness
I feel empty and hopeless.,sadness
Everything feels heavy and grey.,sadness
I can't shake this sadness.,sadness
It broke my heart to hear that.,sadness
I feel lonely and lost.,sadness
I’m disappointed and heartbroken.,sadness
This is a miserable situation.,sadness
I'm terrified of what might happen next.,fear
This makes me really anxious.,fear
I’m scared and don’t know what to do.,fear
My hands are shaking with fear.,fear
I feel unsafe and worried.,fear
I dread the outcome.,fear
"I can't breathe, I'm panicking.",fear
This is frightening to think about.,fear
I'm nervous about the consequences.,fear
I feel threatened by the situation.,fear
I will be there at 5 pm.,neutral
Please send the report when it's ready.,neutral
The device is on the table.,neutral
He went to the store earlier.,neutral
I read the document yesterday.,neutral
Let's proceed with the plan.,neutral
I parked the car outside.,neutral
We can start the meeting now.,neutral
The weather is mild today.,neutral
This is a standard procedure.,neutral
That was utterly disgusting.,disgust
I feel sick just thinking about it.,disgust
This leaves a bad taste in my mouth.,disgust
I am repulsed by that behavior.,disgust
That's gross and unacceptable.,disgust
I can't stand how dirty it is.,disgust
That idea is revolting to me.,disgust
It makes me cringe with disgust.,disgust
I'm appalled and nauseated.,disgust
This is filthy and nasty.,disgust
"Wow, I did not expect that!",surprise
That's shocking news!,surprise
You scared me there for a moment.,surprise
I can't believe it happened so quickly!,surprise
What a sudden turn of events!,surprise
I'm astonished by the results.,surprise
That came out of nowhere!,surprise
I'm genuinely surprised by this.,surprise
"Oh my, that's unexpected!",surprise
I was caught off guard.,surprise
